##FastQC	0.11.9
>>Basic Statistics	pass
#Measure	Value
Filename	ERR1795072_2.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	1361900
Sequences flagged as poor quality	0
Sequence length	35-251
%GC	56
>>END_MODULE
>>Per base sequence quality	warn
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1104	205-209	0.560341856791208
1104	210-214	0.8387987324569579
1104	215-219	0.8340589474332987
1104	220-224	0.6433410155662003
1104	225-229	0.7728524329547461
1104	230-234	0.8089071075974559
1104	235-239	0.9501251167486302
1104	240-244	0.564805970772035
1104	245-249	0.5512353454377283
1104	250-251	0.6803014437459076
1105	1	-0.12876899004084308
1105	2	0.10691287525216353
1105	3	0.24071761960039595
1105	4	0.14421074816163326
1105	5	-0.2011049382292427
1105	6	0.12794598646078015
1105	7	0.14483790685113718
1105	8	0.04344629361203545
1105	9	0.2523282352941436
1105	10-14	0.19211878023862994
1105	15-19	0.21699289646271325
1105	20-24	0.30084308530042847
1105	25-29	0.23879669426487027
1105	30-34	0.2690707732445574
1105	35-39	0.2772264900393395
1105	40-44	0.21274681752763058
1105	45-49	0.0979082295887892
1105	50-54	0.18582953827335302
1105	55-59	0.35302603635927454
1105	60-64	0.3054901895137192
1105	65-69	0.14696595702005055
1105	70-74	0.0015568297984529522
1105	75-79	-0.08472416932919913
1105	80-84	-0.23629809482527975
1105	85-89	-0.05823051402472146
1105	90-94	-0.38290020043368855
1105	95-99	-0.011649815026025578
1105	100-104	-0.08295196819398143
1105	105-109	-0.19531566581332527
1105	110-114	-0.09166419833355377
1105	115-119	-0.15360618999513775
1105	120-124	-0.03823830628659408
1105	125-129	-0.15023689806978524
1105	130-134	-0.4651224266396454
1105	135-139	-0.4282279415988768
