##FastQC	0.11.9
>>Basic Statistics	pass
#Measure	Value
Filename	ERR1795073_1.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	848614
Sequences flagged as poor quality	0
Sequence length	35-251
%GC	56
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	32.34414233090663	33.0	32.0	34.0	32.0	34.0
2	32.62021484444046	33.0	32.0	34.0	32.0	34.0
3	32.72986658245092	33.0	32.0	34.0	32.0	34.0
4	32.75084903147957	33.0	32.0	34.0	32.0	34.0
5	32.54424980026255	33.0	32.0	34.0	32.0	34.0
6	35.02520816295748	37.0	34.0	37.0	32.0	37.0
7	35.001680387078224	37.0	34.0	37.0	32.0	37.0
8	34.831471081080444	37.0	33.0	37.0	32.0	37.0
9	34.89217359129121	37.0	34.0	37.0	32.0	37.0
10-14	35.51296231266512	36.6	35.0	37.4	33.4	37.4
15-19	36.840578637637364	38.0	38.0	38.0	36.0	38.0
20-24	37.05643083899158	38.0	38.0	38.4	36.0	38.4
25-29	37.23701140919193	38.0	38.0	39.0	35.8	39.0
30-34	37.196872311793115	38.0	38.0	39.0	35.4	39.0
35-39	37.22044819402867	38.0	38.0	39.0	35.8	39.0
40-44	37.14578109957108	38.0	38.0	39.0	35.2	39.0
45-49	37.207601757265465	38.0	38.0	39.0	36.0	39.0
50-54	37.16957292091733	38.0	38.0	39.0	35.8	39.0
55-59	37.111456062856675	38.0	38.0	39.0	35.6	39.0
60-64	37.099377248435815	38.0	38.0	39.0	35.8	39.0
65-69	37.09706590481317	38.0	38.0	39.0	35.8	39.0
70-74	36.987556518328184	38.0	38.0	39.0	34.4	39.0
75-79	36.960237551288664	38.0	38.0	39.0	34.2	39.0
80-84	36.84030831285052	38.0	38.0	39.0	34.0	39.0
85-89	36.74892369124042	38.0	37.6	39.0	34.0	39.0
90-94	36.65931993976278	38.0	37.6	39.0	33.6	39.0
95-99	36.64801481085193	38.0	37.6	39.0	33.6	39.0
100-104	36.53406985957892	38.0	37.0	39.0	33.2	39.0
105-109	36.42880486021578	38.0	37.0	39.0	32.8	39.0
110-114	36.3541366023566	38.0	37.0	39.0	32.6	39.0
115-119	36.260850817156644	38.0	37.0	39.0	32.4	39.0
120-124	36.095089428930734	38.0	37.0	39.0	31.6	39.0
125-129	35.87113439040199	38.0	37.0	39.0	30.8	39.0
130-134	35.79005383191188	38.0	37.0	39.0	31.0	39.0
135-139	35.687073022920636	38.0	37.0	38.6	30.4	39.0
140-144	35.45369474391462	38.0	37.0	38.0	29.8	39.0
145-149	35.26900935131666	37.6	36.6	38.0	28.6	39.0
150-154	35.08020010509714	37.0	36.0	38.0	27.4	39.0
155-159	34.92610117963363	37.0	35.8	38.0	26.8	39.0
160-164	34.69569005517127	37.0	35.6	38.0	26.0	39.0
165-169	34.525122139013476	37.0	35.2	38.0	25.8	38.2
170-174	34.32973458778552	37.0	35.0	37.8	25.2	38.0
175-179	34.28275708430367	37.0	35.0	37.0	25.4	38.0
180-184	34.05999273188848	37.0	34.2	37.0	24.2	38.0
185-189	33.834385674557446	37.0	33.2	37.0	24.0	38.0
190-194	33.5779828763767	37.0	33.0	37.0	24.0	38.0
195-199	33.47459561730595	37.0	33.0	37.0	24.0	37.4
200-204	33.25106250886985	37.0	33.0	37.0	22.2	37.0
205-209	33.05978159208131	37.0	33.0	37.0	16.6	37.0
210-214	32.986120675686195	37.0	33.0	37.0	14.8	37.0
215-219	32.690820882438416	37.0	32.2	37.0	14.2	37.0
220-224	32.452131962533066	37.0	32.0	37.0	14.0	37.0
225-229	32.342933760614315	37.0	32.0	37.0	14.0	37.0
230-234	32.13617963563471	37.0	31.8	37.0	14.0	37.0
235-239	31.876619379771164	37.0	31.0	37.0	14.0	37.0
240-244	31.65103437451404	37.0	30.6	37.0	14.0	37.0
245-249	31.453284243663056	37.0	29.4	37.0	14.0	37.0
250-251	29.01531557169834	34.5	20.0	37.0	12.5	37.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1103	35-39	0.15429025919484474
1103	40-44	0.1665170318399518
1103	45-49	0.3706570803772564
1103	50-54	0.1642727047121184
1103	55-59	0.48223626146187115
1103	60-64	0.34443412430704257
1103	65-69	0.4637411745421858
1103	70-74	0.49849728168855023
1103	75-79	0.4923888873799811
1103	80-84	0.32745238947193656
1103	85-89	0.33870038651668466
1103	90-94	0.504706694014331
1103	95-99	0.551059359202732
1103	100-104	0.5628919058379083
1103	105-109	0.5254016737044438
1103	110-114	0.5085839482274324
1103	115-119	0.62651027463059
1103	120-124	0.8151356797164553
1103	125-129	0.4749032033363676
1103	130-134	0.5111429794676283
1103	135-139	0.6356793208792837
1103	140-144	0.7655292626219463
1103	145-149	0.6960973372240176
1103	150-154	0.7893121468626418
1103	155-159	0.7831896757504211
1103	160-164	0.8504903974202023
1103	165-169	0.8581373515664126
1103	170-174	0.8792670688432267
1103	175-179	0.6494809387948095
1103	180-184	0.6907916333402682
1103	185-189	0.9206461423179135
1103	190-194	0.7672702300891814
1103	195-199	0.8338601849359364
1103	200-204	0.962595289812235
1103	205-209	0.8954096839044468
1103	210-214	1.0019947811789507
1103	215-219	1.191297486743224
1103	220-224	1.0476063847434176
1103	225-229	0.9692392003173254
1103	230-234	0.8946516509770746
1103	235-239	0.7585805088403426
1103	240-244	1.1210703932831585
1103	245-249	0.8558464196827416
1103	250-251	1.0719571545141555
1104	1	0.18635810409851672
1104	2	0.19880046031927634
1104	3	0.11793772049058049
1104	4	0.2052197357609984
1104	5	0.2822399680347445
1104	6	0.24177901978116978
1104	7	0.40482652685103915
1104	8	-1.0237685392337283
1104	9	0.14796559434397238
1104	10-14	-0.1088384647955607
1104	15-19	0.18597811804887243
1104	20-24	0.13770568332792266
1104	25-29	-0.27035372505957866
1104	30-34	-0.08614690933767832
1104	35-39	-0.06659389984930186
1104	40-44	-0.28422793892345055
1104	45-49	0.27804260079717835
1104	50-54	-0.2294654016681008
1104	55-59	0.3061349948564427
1104	60-64	0.18260713188290367
1104	65-69	0.15635697713801022
1104	70-74	0.3268747222981929
1104	75-79	0.3677082014618307
1104	80-84	-0.04275605796333792
1104	85-89	-0.10033991589439495
1104	90-94	0.08058807636203369
1104	95-99	0.2789494647564794
1104	100-104	0.2047643236786456
1104	105-109	0.04649838052019817
1104	110-114	0.15143337161160986
1104	115-119	0.13010550706852797
1104	120-124	0.45626284118876015
1104	125-129	0.1513135590456045
1104	130-134	0.2646375692164895
1104	135-139	0.5451642349270571
1104	140-144	0.6106436247221652
1104	145-149	0.5425817080116104
1104	150-154	0.7034577449332815
1104	155-159	0.6598276687758968
1104	160-164	0.7253684488085739
1104	165-169	0.7602747433848833
1104	170-174	0.9259507473417941
1104	175-179	0.6303554436492362
1104	180-184	0.6701005661817021
1104	185-189	0.78729900192522
1104	190-194	0.4709964668908455
1104	195-199	0.7630558740854241
1104	200-204	0.8171524676231741
1104	205-209	0.7515765424482126
1104	210-214	0.9159502073821386
1104	215-219	1.0881769762004012
1104	220-224	0.7571072907225087
1104	225-229	0.8747636965766148
1104	230-234	0.6776375167068309
1104	235-239	0.7440051500534572
1104	240-244	0.9638691354904658
1104	245-249	0.47190180397992165
1104	250-251	0.6472556559531846
1105	1	0.26070491567686815
1105	2	0.23266170020025356
1105	3	0.18956917978016463
1105	4	0.24311002547005955
1105	5	0.22385390663995963
1105	6	0.14596760091053795
1105	7	0.25894067636849627
1105	8	0.4642684637549692
1105	9	0.42669045428463903
1105	10-14	0.06284031503763998
1105	15-19	0.3138991002522289
1105	20-24	0.30705072324341387
1105	25-29	0.25306746206884156
1105	30-34	0.23553925650629282
1105	35-39	0.35900870601007995
1105	40-44	0.05118895294190651
1105	45-49	0.2788824371434373
1105	50-54	0.10365355214187844
1105	55-59	0.28320451096968924
1105	60-64	0.2856737947256036
1105	65-69	0.29190110435647654
1105	70-74	0.41694859466647927
1105	75-79	0.3266005292187941
1105	80-84	0.3069494733189515
1105	85-89	0.11618230859083667
1105	90-94	0.06888978358323783
1105	95-99	0.1489559779641425
1105	100-104	0.4327683673055702
